"word","position_score","psi","zeta","abs_zeta","political_leaning","frequency","position_rank","discrimination_rank"
"verein",-0.0593627531480056,0.340542217310254,-0.0703820378873983,0.0703820378873983,"left",9,9634,17533.5
"person",-0.0593051973909807,2.47404191922601,-0.204326234962462,0.204326234962462,"left",76,9635,15627
"offen",-0.0592892478763306,3.09206595801252,-0.278233572878474,0.278233572878474,"left",141,9636,14675
"schublade",-0.0592308391297831,0.340521446964493,-0.0702249078642043,0.0702249078642043,"left",9,9637,17540
"wirtschaftspolitische",-0.0592308391297831,0.340521446964493,-0.0702249078642043,0.0702249078642043,"left",9,9638,17540
"kilogramm",-0.0592308391297831,0.340521446964493,-0.0702249078642043,0.0702249078642043,"left",9,9639,17540
"throm",-0.0592049939127409,2.03511309704711,-0.16378628593934,0.16378628593934,"left",49,9640,16199
"anti",-0.0591921786549157,0.0892009293999052,-0.0618919350083969,0.0618919350083969,"left",7,9641,17654
"vorhaben",-0.058952291975232,2.95543733118671,-0.258384083024267,0.258384083024267,"left",123,9642,14939
"kindeswohl",-0.0588706507973264,1.40133663957475,-0.118630188848987,0.118630188848987,"left",26,9643,16878
"weltbeste",-0.058795180055793,1.40132473466439,-0.118477402600567,0.118477402600567,"left",26,9644,16880
"see",-0.0587779220932621,1.78081163356534,-0.143189958029401,0.143189958029401,"left",38,9645,16483
"lebenserwartung",-0.058573501493967,1.08763218730435,-0.100896828527727,0.100896828527727,"left",19,9646,17089
"versuche",-0.0584425040822711,2.18622378571675,-0.17436578888738,0.17436578888738,"left",57,9647,16067
"vorbeugung",-0.0583455505139186,0.708106555241887,-0.0831325546894827,0.0831325546894827,"left",13,9648,17384
"jeweiligen",-0.0583012572331187,2.85268039815353,-0.242733432858393,0.242733432858393,"left",111,9649,15125
"bäuerlichen",-0.0582983288341926,0.445734826933305,-0.072852790852041,0.072852790852041,"left",10,9650,17504
"wohneigentum",-0.0581812155112136,2.03495151518246,-0.160941074756712,0.160941074756712,"left",49,9651,16267
"besuch",-0.0581710311726597,1.78071576614274,-0.14170470749689,0.14170470749689,"left",38,9652,16506
"vorgehens",-0.0580031334382827,0.222544585742849,-0.0648300562445636,0.0648300562445636,"left",8,9653,17624
"lebensrealität",-0.0576128916227289,0.851091439092141,-0.0881722312583587,0.0881722312583587,"left",15,9654,17314
"eingebunden",-0.0576079257564395,1.69838851238137,-0.134673645957168,0.134673645957168,"left",35,9655,16612
"herzustellen",-0.057522382688213,1.51032271975712,-0.12240503392626,0.12240503392626,"left",29,9656,16838
"gewählten",-0.0575205197902135,1.23406904775364,-0.10660988890956,0.10660988890956,"left",22,9657,17011
"binnengrenzen",-0.0573706215499588,0.627909469720652,-0.0785305002445669,0.0785305002445669,"left",12,9658,17443
"steueraufkommen",-0.0569775248919357,0.445525499950476,-0.0711947898809837,0.0711947898809837,"left",10,9659,17528
"zwingenden",-0.0567360154259834,-0.0653385164738297,-0.0549124414766783,0.0549124414766783,"left",6,9660,17771
"basierende",-0.0567360154259834,-0.0653385164738297,-0.0549124414766783,0.0549124414766783,"left",6,9661,17771
"machbare",-0.0567360154259834,-0.0653385164738297,-0.0549124414766783,0.0549124414766783,"left",6,9662,17771
"zwischenstaatlichen",-0.0565396957577835,-0.0653697520045524,-0.0547215771585172,0.0547215771585172,"left",6,9663,17778
"abgebrochen",-0.0565396957577835,-0.0653697520045524,-0.0547215771585172,0.0547215771585172,"left",6,9664,17778
"nachwuchskräfte",-0.0565396957577835,-0.0653697520045524,-0.0547215771585172,0.0547215771585172,"left",6,9665,17778
"ärgern",-0.0565396957577835,-0.0653697520045524,-0.0547215771585172,0.0547215771585172,"left",6,9666,17778
"landwirtschaftspolitik",-0.0565396957577835,-0.0653697520045524,-0.0547215771585172,0.0547215771585172,"left",6,9667,17778
"lediglich",-0.0563582629334934,2.30172497390751,-0.178143846902725,0.178143846902725,"left",64,9668,16009
"integrationspolitik",-0.0563218884645595,1.08727507561589,-0.0970009507567595,0.0970009507567595,"left",19,9669,17151
"entnommen",-0.056304708775397,0.540728632405327,-0.0737840427309766,0.0737840427309766,"left",11,9670,17486
"regulierungen",-0.0562634313782859,0.976040127141665,-0.091658054732321,0.091658054732321,"left",17,9671,17260
"bundesverwaltung",-0.0561961671135566,0.540711336739462,-0.0736411683632694,0.0736411683632694,"left",11,9672,17490
"gekämpft",-0.0559169607747231,1.51006736996571,-0.118973577650733,0.118973577650733,"left",29,9673,16876
"terroranschlag",-0.055908659365397,0.850820416547287,-0.0855524368619601,0.0855524368619601,"left",15,9674,17346
"beamte",-0.0559016119726868,1.57675629544755,-0.122973804874297,0.122973804874297,"left",31,9675,16831
"mutmaßlich",-0.0558998126703885,0.915357526100402,-0.0883441331614505,0.0883441331614505,"left",16,9676,17310
"backen",-0.0557400476893631,0.540638576099029,-0.0730407982865907,0.0730407982865907,"left",11,9677,17501
"alt",-0.0556580751774625,2.75785073012197,-0.220997754043908,0.220997754043908,"left",101,9678,15417
"russischer",-0.0553266352330489,1.43851410984089,-0.113580461456863,0.113580461456863,"left",27,9679,16944
"ideen",-0.0553149150328717,3.25466315786922,-0.281568050935011,0.281568050935011,"left",166,9680,14629
"schienennetz",-0.0552074463652347,1.13839045243605,-0.0975429767752565,0.0975429767752565,"left",20,9681,17147
"angestrebten",-0.0551004427370674,0.540536328322791,-0.0721989797883346,0.0721989797883346,"left",11,9682,17523
"ethisch",-0.0549479943884681,0.339841224907587,-0.0651249540034537,0.0651249540034537,"left",9,9683,17621.5
"90er-jahren",-0.0549479943884681,0.339841224907587,-0.0651249540034537,0.0651249540034537,"left",9,9684,17621.5
"weiteren",-0.0547603367309987,3.75205837778632,-0.357449945058642,0.357449945058642,"left",273,9685,13669
"verhandlungen",-0.0547336501568479,2.9047562401224,-0.233891379376147,0.233891379376147,"left",117,9686,15215
"fachkräften",-0.0547230284111189,2.13156464933156,-0.158866931056381,0.158866931056381,"left",54,9687,16280
"prüfen",-0.0545363721068607,3.23630087306381,-0.275067987314943,0.275067987314943,"left",163,9688,14724
"bevormundung",-0.0545357245618087,1.08698954755146,-0.093911303520353,0.093911303520353,"left",19,9689,17197
"leistungsfähigen",-0.0544022934484532,1.60826506209511,-0.121575910200158,0.121575910200158,"left",32,9690,16854
"biogas",-0.0543605930998575,-0.0657180645813577,-0.0526033848022598,0.0526033848022598,"left",6,9691,17803.5
"pisa-studie",-0.0543605930998575,-0.0657180645813577,-0.0526033848022598,0.0526033848022598,"left",6,9692,17803.5
"mobilen",-0.0542554134901218,1.08694455874181,-0.0934265022186056,0.0934265022186056,"left",19,9693,17214
"maßstäbe",-0.0539702947562021,1.13819204276487,-0.0953476627554766,0.0953476627554766,"left",20,9694,17179
"abgestimmten",-0.0536981995811582,0.627322654183922,-0.0734820236924219,0.0734820236924219,"left",12,9695,17495
"gelebte",-0.0536276895542978,1.63891221728227,-0.121695453311697,0.121695453311697,"left",33,9696,16851
"gelebt",-0.0532176474133357,1.50963442855708,-0.113205785590027,0.113205785590027,"left",29,9697,16947
"trat",-0.0532027283341279,0.44492128615789,-0.0664580101948699,0.0664580101948699,"left",10,9698,17594
"geopolitische",-0.0530832665302129,0.444902020332725,-0.0663081461383241,0.0663081461383241,"left",10,9699,17597
"begreifen",-0.0530495337189004,1.83119093970034,-0.132531658028832,0.132531658028832,"left",40,9700,16644
"zivil",-0.0530430303733911,0.221751978070339,-0.0592626623077116,0.0592626623077116,"left",8,9701,17688.5
"gespürt",-0.0530430303733911,0.221751978070339,-0.0592626623077116,0.0592626623077116,"left",8,9702,17688.5
"grenzüberschreitende",-0.0529634489696358,1.63880515673189,-0.120181681692603,0.120181681692603,"left",33,9703,16865
"bedeutender",-0.0528796682691738,0.850334273414638,-0.0808977538338476,0.0808977538338476,"left",15,9704,17395
"insolvenz",-0.0528595846673728,1.36115665486239,-0.104398716295924,0.104398716295924,"left",25,9705,17062
"junger",-0.0527237230149739,2.11255080333821,-0.151614468607118,0.151614468607118,"left",53,9706,16377
"problemlösung",-0.0525669563490696,0.221675101124624,-0.0587285081052138,0.0587285081052138,"left",8,9707,17717.5
"materie",-0.0525669563490696,0.221675101124624,-0.0587285081052138,0.0587285081052138,"left",8,9708,17717.5
"auslösen",-0.052526250224825,0.781284309281413,-0.07763009728152,0.07763009728152,"left",14,9709,17456
"umweltfreundlich",-0.0524182175545241,0.221651053865204,-0.0585616310030364,0.0585616310030364,"left",8,9710,17721
"bedingen",-0.0524182175545241,0.221651053865204,-0.0585616310030364,0.0585616310030364,"left",8,9711,17721
"spender",-0.0524182175545241,0.221651053865204,-0.0585616310030364,0.0585616310030364,"left",8,9712,17721
"sinkt",-0.0522837406808313,1.97082915541916,-0.140064077566519,0.140064077566519,"left",46,9713,16531
"wahlrechts",-0.0522801677537269,0.707136538274975,-0.0744542890029287,0.0744542890029287,"left",13,9714,17479
"bleibt",-0.0516865665354149,4.4111873073643,-0.469088554659848,0.469088554659848,"left",528,9715,12211
"intensiv",-0.0515747065483614,2.28520760550226,-0.161682602873795,0.161682602873795,"left",63,9716,16245
"generalsekretär",-0.0513714278776478,0.850090087046314,-0.0785807834016993,0.0785807834016993,"left",15,9717,17441
"oben",-0.0511999405726453,2.65287153932565,-0.192900428451709,0.192900428451709,"left",91,9718,15806
"bundesamtes",-0.0511948376807169,0.850061404815749,-0.078309537507099,0.078309537507099,"left",15,9719,17445
"verlagert",-0.0511146143423132,0.850048368367348,-0.078186315252135,0.078186315252135,"left",15,9720,17448
"vereinfachen",-0.051103685219259,2.44606148415762,-0.173623186219819,0.173623186219819,"left",74,9721,16075
"älter",-0.0510693040209135,1.43782766849594,-0.104804577238276,0.104804577238276,"left",27,9722,17056
"zurückblicken",-0.0509792857203263,0.626882816872237,-0.0697460505603479,0.0697460505603479,"left",12,9723,17549
"dreiklang",-0.050879286772118,0.626866552912396,-0.0696086734107135,0.0696086734107135,"left",12,9724,17553
"bildungspolitik",-0.0508769443103374,1.83083897618319,-0.127081593481993,0.127081593481993,"left",40,9725,16733
"bremen",-0.0508527453280698,0.781012914966428,-0.0751465770761715,0.0751465770761715,"left",14,9726,17477
"fehlern",-0.0507828774193893,1.08638319629523,-0.0874223383245079,0.0874223383245079,"left",19,9727,17325
"goals",-0.0507675658717305,0.221383267060361,-0.0567099294011894,0.0567099294011894,"left",8,9728,17753
"immens",-0.0506982012595052,0.706879792870066,-0.0721920788229504,0.0721920788229504,"left",13,9729,17524
"energieeffizienzgesetz",-0.0504134815452761,0.444469155498977,-0.0629595973044708,0.0629595973044708,"left",10,9730,17641
"auskunft",-0.0503914198911133,1.43771733318966,-0.103407716497368,0.103407716497368,"left",27,9731,17072
"fachkräftemangels",-0.0503600653812093,0.849925558022518,-0.0770274064511332,0.0770274064511332,"left",15,9732,17461
"unterschiedliche",-0.0501909739849513,2.68514256962645,-0.192175015184318,0.192175015184318,"left",94,9733,15810
"potenzial",-0.0501138171619026,2.49854402811638,-0.174787119909833,0.174787119909833,"left",78,9734,16044
"eingefordert",-0.050065106273928,0.33905183108047,-0.0593142867001134,0.0593142867001134,"left",9,9735,17687
"transatlantische",-0.0499393145523534,1.13753899630447,-0.0881974505694075,0.0881974505694075,"left",20,9736,17312.5
"vorbereiten",-0.0499393145523534,1.13753899630447,-0.0881974505694075,0.0881974505694075,"left",20,9737,17312.5
"ausbildungsgarantie",-0.0499386694961594,0.626713267230962,-0.0683165654065963,0.0683165654065963,"left",12,9738,17566
"schwarzarbeit",-0.0498063472812919,1.13751728353257,-0.0879616631138111,0.0879616631138111,"left",20,9739,17317
"verunsicherung",-0.0496570806885799,1.85533268931755,-0.125562963886825,0.125562963886825,"left",41,9740,16766
"gestellt",-0.0495288538362903,4.21938190510883,-0.408399702602659,0.408399702602659,"left",436,9741,13022
"bürger",-0.0493629628806816,5.30022652633423,-0.698764424053258,0.698764424053258,"left",1285,9742,9375
"zahlt",-0.0491465025738303,1.99182470139834,-0.133049073858641,0.133049073858641,"left",47,9743,16633
